	Line1	Line2	Center	Line3	Line4
34.15	-0.073440048	-0.69165288	-1.251805965	-1.075560136	-1.305956605
34.2	-0.240336517	-0.852961272	-1.219904544	-1.000673446	-1.342656442
34.25	-0.407248986	-1.014253674	-1.188002129	-0.925786745	-1.379356249
34.3	-0.462664455	-1.019403088	-1.079256721	-0.806176033	-1.339228027
34.35	-0.518080926	-1.024552512	-0.970496321	-0.686566311	-1.299099775
34.4	-0.499918397	-0.996727946	-1.042338927	-0.821136579	-1.191313493
34.45	-0.481756868	-0.968888392	-1.11416654	-0.955691836	-1.083527182
34.5	-0.35618834	-0.970711848	-1.10535116	-0.920630082	-1.157976841
34.55	-0.230634813	-0.972519315	-1.096535787	-0.885553318	-1.23244247
34.6	-0.362314286	-1.039863792	-1.18331642	-0.989011543	-1.30197807
34.65	-0.493977759	-1.107208281	-1.270097061	-1.092453758	-1.37151464
34.7	-0.547654234	-1.17929878	-1.396108708	-1.198596962	-1.491359181
34.75	-0.601330708	-1.251388289	-1.522135363	-1.304725156	-1.611203692
34.8	-0.524316184	-1.20740481	-1.412673024	-1.297557339	-1.465454173
34.85	-0.44728566	-1.163421341	-1.303210692	-1.290388512	-1.319718624
34.9	-0.327134136	-1.140082883	-1.148612367	-1.121217674	-1.333362046
34.95	-0.206997614	-1.116744435	-0.994030049	-0.952061826	-1.346990439
35	-0.288567091	-1.036856999	-1.011398737	-0.812034967	-1.191153801
35.05	-0.37013657	-0.956985573	-1.028767433	-0.671993098	-1.035333134
35.1	-0.223923048	-0.930168158	-1.062326135	-0.777175218	-0.986766438
35.15	-0.077709528	-0.903350753	-1.095883845	-0.882356328	-0.938198711
35.2	-0.076759008	-0.893317359	-1.013765561	-1.127873427	-1.081846955
35.25	-0.075808488	-0.883269976	-0.931632284	-1.373390516	-1.22547917
35.3	-0.22978097	-0.931785604	-1.005641014	-1.350062594	-1.314821355
35.35	-0.383753451	-0.980285242	-1.079650751	-1.326750661	-1.40416351
35.4	-0.374227934	-0.890326892	-1.211277494	-1.258623718	-1.369771635
35.45	-0.364703416	-0.800353551	-1.342904245	-1.190495765	-1.335379731
35.5	-0.2904039	-0.901557222	-1.337873003	-0.999580801	-1.375664797
35.55	-0.216104384	-1.002745903	-1.332826767	-0.808665826	-1.415964834
35.6	-0.409887868	-0.945136595	-1.216803538	-0.674208841	-1.434138841
35.65	-0.603655354	-0.887542298	-1.100764316	-0.539750846	-1.452313818
35.7	-0.604855839	-0.845802011	-1.078231101	-0.74686184	-1.260023766
35.75	-0.606042326	-0.804061736	-1.055698893	-0.953987823	-1.067733684
35.8	-0.313191813	-0.86231247	-1.106926692	-1.020259796	-1.044236572
35.85	-0.0203413	-0.920563216	-1.158139498	-1.086530758	-1.020739431
35.9	-0.099316788	-0.899345972	-1.13069331	-1.07905771	-1.03287126
35.95	-0.178307277	-0.878128739	-1.10324713	-1.071583651	-1.045004059
36	-0.276478766	-1.093041517	-1.133524956	-1.087241582	-1.354910829
36.05	-0.374665255	-1.307938306	-1.163787789	-1.102900502	-1.664833569
36.1	-0.320888746	-1.333276105	-1.148029629	-1.052228412	-1.60033528
36.15	-0.267113237	-1.358628915	-1.132286476	-1.001557311	-1.535852961
36.2	-0.426196728	-1.257210736	-1.05187733	-1.0867042	-1.428996612
36.25	-0.58526622	-1.155809567	-0.971483191	-1.171866078	-1.322156234
36.3	-0.617457713	-1.050668409	-1.090842058	-1.143029946	-1.203748826
36.35	-0.649650206	-0.945543262	-1.210215933	-1.114208803	-1.085341388
36.4	-0.2223997	-0.851603125	-1.183868814	-1.03359965	-1.040755921
36.45	0.204849806	-0.757678	-1.157520702	-0.953005486	-0.996171424
36.5	0.078068311	-0.912333885	-1.133858597	-1.033224311	-1.054490897
36.55	-0.048712184	-1.06698878	-1.110197499	-1.113442127	-1.112795341
36.6	-0.27128868	-1.075007687	-1.195223408	-1.216594931	-1.285266755
36.65	-0.493864177	-1.083041604	-1.280265324	-1.319746725	-1.457722139
36.7	-0.474832674	-1.069377532	-1.360882246	-1.267762509	-1.302403494
36.75	-0.455786172	-1.05571447	-1.441498176	-1.215779282	-1.147085819
36.8	-0.40413067	-1.11756542	-1.399282112	-1.221168044	-1.291617115
36.85	-0.352491169	-1.17941738	-1.357065056	-1.226556796	-1.436149381
36.9	-0.371179669	-1.08918535	-1.186370006	-0.943188538	-1.527092617
36.95	-0.389867169	-0.998952332	-1.015673963	-0.659820268	-1.618050824
37	-0.474030669	-1.018782324	-1.128059927	-0.698488989	-1.420801001
37.05	-0.558194171	-1.038611327	-1.240460897	-0.737172699	-1.223551148
37.1	-0.368279672	-1.056838341	-1.293550875	-0.854790398	-1.217036266
37.15	-0.178380175	-1.075065365	-1.34665586	-0.972423087	-1.210521354
37.2	-0.279892678	-1.1181944	-1.318629851	-1.075895765	-1.212444412
37.25	-0.381390181	-1.161339446	-1.290618849	-1.179368433	-1.214367441
37.3	-0.278496685	-1.093903502	-1.364155854	-1.13646309	-1.30505144
37.35	-0.17560219	-1.02645257	-1.437692866	-1.093557737	-1.39574941
37.4	-0.151641695	-0.929521648	-1.315931885	-1.109582373	-1.23156535
37.45	-0.127682201	-0.832574736	-1.194170911	-1.125621999	-1.06738126
37.5	-0.199882707	-0.833299836	-1.048804944	-0.998640614	-1.05602914
37.55	-0.272068214	-0.834040946	-0.903423983	-0.871660219	-1.044676991
37.6	-0.522261722	-0.901401067	-0.96480003	-0.868427813	-0.984190813
37.65	-0.77245623	-0.968777198	-1.026160083	-0.865180397	-0.923720604
37.7	-0.423239738	-0.974827341	-1.095378143	-0.90892997	-0.959747366
37.75	-0.074008247	-0.980893494	-1.16461221	-0.952679532	-0.995788099
37.8	-0.185011757	-1.054494657	-1.193105284	-1.122512085	-1.167587801
37.85	-0.296015268	-1.128095832	-1.221597365	-1.292359626	-1.339386475
37.9	-0.296408779	-1.215690017	-1.336272453	-1.332218157	-1.486573118
37.95	-0.29680129	-1.303298213	-1.450946548	-1.372076678	-1.633774732
38	-0.300596802	-1.18857542	-1.524635649	-1.337305188	-1.547684316
38.05	-0.304407315	-1.073853637	-1.598325757	-1.302517687	-1.46159387
38.1	-0.545690828	-1.167290865	-1.470552873	-1.256972176	-1.406281395
38.15	-0.786973342	-1.260729104	-1.342795995	-1.211427655	-1.350952891
38.2	-0.688947856	-1.120081353	-1.288296124	-1.087620122	-1.373962356
38.25	-0.590905371	-0.979434614	-1.23379626	-0.96379758	-1.396972792
38.3	-0.559620887	-0.997035885	-1.152013402	-1.023431027	-1.317901198
38.35	-0.528352403	-1.014653166	-1.070231552	-1.083080463	-1.238830575
38.4	-0.400387919	-1.002744459	-1.176254709	-0.952878889	-1.214705922
38.45	-0.272423437	-0.990835762	-1.282276872	-0.822678304	-1.19059724
38.5	-0.406284954	-1.091338076	-1.267618042	-0.893115709	-1.171996527
38.55	-0.540131473	-1.1918404	-1.252959219	-0.963568103	-1.153395785
38.6	-0.687465992	-1.286483735	-1.411151403	-0.999489487	-1.345961014
38.65	-0.834816511	-1.381112081	-1.569344594	-1.03542586	-1.538526213
38.7	-0.523167031	-1.290605438	-1.449887792	-0.998075223	-1.353727382
38.75	-0.211517552	-1.200098806	-1.330431997	-0.960723575	-1.168927521
38.8	-0.267879073	-1.186145184	-1.201210208	-0.962480917	-1.162151631
38.85	-0.324241595	-1.172191573	-1.071972427	-0.964238248	-1.155361712
38.9	-0.568363118	-1.145267972	-1.153627652	-0.977164569	-1.070018762
